Field Name,Short Name,grib paramID,Unit,Level,Minimum value,Maximum value,Existing L1 error,Distribution,Absolute L1 error,Absolute L2 error,Absolute Linfty error,Relative L1 error,Relative L2 error,Relative Linfty error,decimal error,Important for budget,Additional Requirements,Comments
Significant wave height of third swell partition,swh3,140127,m,Single/Surface,0,"4,755615","7,26E-05",,0.01,,,,,,,,,
Mean wave direction of third swell partition,mwd3,140128,degrees,Single/Surface,"4,48E-06","359,99997","0,005493163597",,0.1,,,"0,01",,,,,,
Mean wave period of third swell partition,mwp3,140129,s,Single/Surface,0,"28,966309","0,0004419907928",,0.01,,,,,,,,,
Wave Spectral Skewness,wss,140207,Numeric,Single/Surface,"0,00011390794","0,101444766","1,55E-06",,"1,00E-05",,,"0,01",,,,,,
Free convective velocity over the oceans,wstar,140208,m s**-1,Single/Surface,0,"2,8270264","4,31E-05",,0.01,,,,,,,,,
Air density over the oceans,rhoao,140209,kg m**-3,Single/Surface,"0,9978549","1,5407505","8,28E-06",,0,,,"0,01",,,,,,
Normalized energy flux into waves,phiaw,140211,Numeric,Single/Surface,"-103,2204","6,4314117","0,001673153834",,0.01,,,"0,01",,,,,,
Normalized energy flux into ocean,phioc,140212,Numeric,Single/Surface,"-2435,9817","-0,19750977","0,037167117",,0.03,,,"0,01",,,,,,
Normalized stress into ocean,tauoc,140214,Numeric,Single/Surface,"0,72867155","20,141323","0,0002962135477",,0,,,"0,01",,,,,,
U-component surface stokes drift,ust,140215,m s**-1,Single/Surface,"-0,8038976","0,93108517","2,65E-05",,0.01,,,"0,01",,,,,,
V-component surface stokes drift,vst,140216,m s**-1,Single/Surface,"-0,78493565","0,89954257","2,57E-05",,0.01,,,"0,01",,,,,,
Period corresponding to maximum individual wave height,tmax,140217,s,Single/Surface,"1,9529505","15,253711","0,0002029534953",,"0,01",,,,,,,,,
Envelop-maximum individual wave height,hmax,140218,m,Single/Surface,"0,032169748","28,994614","0,0004419318284",,"0,01",,,,,,,,,
Model bathymetry,wmb,140219,m,Single/Surface,5,999,"0,01516723633",,"0,1",,,,,,,,,
Mean wave period based on first moment,mp1,140220,s,Single/Surface,"1,495059","15,01979","0,0002063710126",,"0,01",,,,,,,,,
Mean zero-crossing wave period,mp2,140221,s,Single/Surface,"1,4050522","13,9297695","0,0001911120198",,"0,01",,,,,,,,,
Wave spectral directional width,wdw,140222,radians,Single/Surface,"0,19933546","1,3744593","1,79E-05",,0.01,,,,,,,,,
Mean wave period based on first moment for wind waves,p1ww,140223,s,Single/Surface,"1,4243002","13,101718","0,0001781832543",,"0,01",,,,,,,,,
Mean wave period based on second moment for wind waves,p2ww,140224,s,Single/Surface,0,"11,68335","0,0001782737672",,"0,01",,,,,,,,,
Wave spectral directional width for wind waves,dwww,140225,radians,Single/Surface,0,"1,4142455","2,16E-05",,"0,01",,,,,,,,,
Mean wave period based on first moment for swell,p1ps,140226,s,Single/Surface,"1,495059","16,368708","0,0002269538672",,"0,01",,,,,,,,,
Mean wave period based on second moment for swell,p2ps,140227,s,Single/Surface,"1,4050522","15,511257","0,0002152436064",,"0,01",,,,,,,,,
Wave spectral directional width for swell,dwps,140228,radians,Single/Surface,"0,06416768","1,4095137","2,05E-05",,"0,01",,,,,,,,,
Significant height of combined wind waves and swell,swh,140229,m,Single/Surface,"0,031689517","15,400932","0,0002345160319",,"0,01",,,,,,,,,
Mean wave direction,mwd,140230,Degree true,Single/Surface,"0,00012719269","360,00363","0,005493217614",,"0,1",,,,,,,,,
Peak wave period,pp1d,140231,s,Single/Surface,"1,8260269","21,098976","0,0002940818667",,"0,01",,,,,,,,,
Mean wave period,mwp,140232,s,Single/Surface,"1,6203156","16,45109","0,0002262996568",,"0,01",,,,,,,,,
Significant height of wind waves,shww,140234,m,Single/Surface,"2,51E-16","15,387207","0,0002347901464",,"0,01",,,,,,,,,
Mean direction of wind waves,mdww,140235,degrees,Single/Surface,"1,21E-05","360,0035","0,005493217614",,"0,1",,,,,,,,,
Mean period of wind waves,mpww,140236,s,Single/Surface,"1,5170059","14,739394","0,0002017576335",,"0,01",,,,,,,,,
Significant height of total swell,shts,140237,m,Single/Surface,0,"9,903525","0,0001511158043",,"0,01",,,,,,,,,
Mean direction of total swell,mdts,140238,degrees,Single/Surface,"1,59E-06","360,00372","0,005493220873",,"0,1",,,,,,,,,
Mean period of total swell,mpts,140239,s,Single/Surface,"1,6203156","17,534609","0,0002428328444",,"0,01",,,,,,,,,
Mean square slope of waves,msqs,140244,dimensionless,Single/Surface,"2,09E-05","0,0608462","9,28E-07",,0,,,"0,01",,,,,,
Wave spectral kurtosis,wsk,140252,dimensionless,Single/Surface,"-0,33000004","0,9993343","2,03E-05",,0.01,,,"0,01",,,,,,
Benjamin-Feir index,bfi,140253,dimensionless,Single/Surface,-10,"9,995083","0,0003051007516",,0.01,,,"0,01",,,,,,
Wave spectral peakedness,wsp,140254,dimensionless,Single/Surface,"1,1663694","43,99974","0,0006535853609",,0.01,,,"0,01",,,,,,
Coefficient of drag with waves,cdww,140233,dimensionless,Single/Surface,"0,0006759383","0,0065243226","8,92E-08",,0,,,"0,01",,,,,,
10 metre wind speed,wind,140245,m s**-1,Single/Surface,2,"34,67285","0,0004985481501",,0.01,,,,,,,,,
10 metre wind direction,dwi,140249,degrees,Single/Surface,"1,63E-06","360,00375","0,005493221339",,0.1,,,,,,,,,
Ice temperature layer 1,istl1,35,K,Single/Surface,"230,60287","273,161","0,0006493856199",,"0,002",,,"0,01",,,,,,
Ice temperature layer 2,istl2,36,K,Single/Surface,"235,49886","273,16095","0,0005746779498",,"0,002",,,"0,01",,,,,,
Ice temperature layer 3,istl3,37,K,Single/Surface,"249,33615","272,6903","0,0003563561477",,"0,002",,,"0,01",,,,,,
Ice temperature layer 4,istl4,38,K,Single/Surface,"261,85376","272,01196","0,0001550018787",,"0,002",,,"0,01",,,,,,
Volumetric soil water layer 1,swvl1,39,m**3 m**-3,Single/Surface,"-0,014633857","0,76602054","1,19E-05",Other,"0,00001",,,"0,01",,,,Water,,I am a bit concerned that a bounded variable can have negative values (CR)
Volumetric soil water layer 2,swvl2,40,m**3 m**-3,Single/Surface,"-0,0005851451","0,76594377","1,17E-05",Log-Normal,"0,00001",,,"0,01",,,,Water,,I am a bit concerned that a bounded variable can have negative values (CR)
Volumetric soil water layer 3,swvl3,41,m**3 m**-3,Single/Surface,"-0,00057547074","0,765307","1,17E-05",Normal,"0,00001",,,"0,01",,,,Water,,I am a bit concerned that a bounded variable can have negative values (CR)
Volumetric soil water layer 4,swvl4,42,m**3 m**-3,Single/Surface,0,"0,7555084","1,15E-05",Normal,"0,00001",,,"0,01",,,,Water,,I am a bit concerned that a bounded variable can have negative values (CR)
Soil temperature level 1,stl1,139,K,Single/Surface,"212,61618","337,20554","0,001901082695",Normal,"0,002",,,"0,01",,,,Energy,,
Soil temperature level 2,stl2,170,K,Single/Surface,"212,99513","320,13095","0,001634762855",Normal,"0,002",,,"0,01",,,,Energy,,
Soil temperature level 3,stl3,183,K,Single/Surface,"213,98178","316,1906","0,001559583005",Normal,"0,002",,,"0,01",,,,Energy,,
Soil temperature level 4,stl4,236,K,Single/Surface,"214,95973","313,81348","0,001508388435",Normal,"0,002",,,"0,01",,,,Energy,,
lightning flash densities,,"228050, 228051, 228052, 228053, 228057, 228058, 228059, 228060",flashes/km2/day,,0,400,,,,,,0.01,,,,,,Feedback from Philippe Lopez
